	word	moscow_concr	moscow_abstr	kazan_concr	kazan_abstr
14780	ввп	0.120393368601799	0.1574413761496544	0.174057724326849	0.12910941019654273
14781	импорт	0.12038458436727525	0.1395997539162636	0.15555261597037315	0.12369164898991585
14782	собственность	0.12036031484603882	0.18219240456819533	0.16939095705747606	0.16243915557861327
14783	реализм	0.12035916075110435	0.29038202464580537	0.12192602381110193	0.2402005299925804
14784	точка	0.12035592496395113	0.1666578471660614	0.12837664783000946	0.14300963133573533
14785	гомерический	0.1203465186059475	0.21299118399620054	0.16821275055408474	0.16076457351446152
14786	бранденбург	0.12034598588943482	0.12508308216929434	0.14724832996726034	0.13062486052513125
14787	молодеть	0.120341819524765	0.14364661425352096	0.20699497759342195	0.15142423287034035
14788	дисциплина	0.1203326478600502	0.1902961328625679	0.12675440534949306	0.16415198594331742
14789	непонятый	0.12032812684774401	0.2164658218622208	0.15386302024126053	0.2349901169538498
14790	селекторный	0.12032473832368852	0.1284612834453583	0.14095162004232406	0.1576477788388729
14791	ведущий	0.12032202556729316	0.12941704019904138	0.12914292365312574	0.15929228216409685
14792	кутузовский	0.12031745463609694	0.10201630592346192	0.18199322670698165	0.11221711114048956
14793	суточный	0.12030089423060415	0.12246899381279945	0.12714913561940194	0.11614204198122025
14794	журналист	0.1202940285205841	0.18120719194412235	0.2480897009372711	0.17964501678943634
14795	творчески	0.12027772516012193	0.19205909818410874	0.1414020650088787	0.1910841956734657
14796	суверенитет	0.12027701064944267	0.2515025109052658	0.14384403750300406	0.2283883035182953
14797	дружеский	0.12026770636439325	0.1828314632177353	0.16519461423158646	0.19658664762973785
14798	сожаление	0.1202673263847828	0.17115900218486785	0.17893845438957215	0.215728098154068
14799	цивилизация	0.1202635921537876	0.2507926136255264	0.13097563982009888	0.2681556716561317
14800	приватизировать	0.12024860084056856	0.1454584404826164	0.213436171412468	0.1366965092718601
14801	лужков	0.12023930102586748	0.1921530455350876	0.17271676808595654	0.144637980312109
14802	талантливый	0.12023162618279455	0.18408989161252973	0.20828764885663986	0.2109964057803154
14803	оптимальный	0.12022064924240113	0.16062462478876113	0.09997425898909568	0.12914494574069976
14804	монотонность	0.12021870464086533	0.239975942671299	0.12225973159074785	0.1807990536093712
14805	неразбериха	0.12021662816405294	0.2267678663134575	0.13293740004301072	0.17249501198530198
14806	донесение	0.12021206393837927	0.17965525537729266	0.16049321964383126	0.15217828154563906
14807	жизнь	0.12020541951060296	0.2223139926791191	0.2129462629556656	0.3502833589911461
14808	патимат	0.12020514532923697	0.11121904924511908	0.22568747103214265	0.14241845309734344
14809	переезжать	0.12019508928060532	0.12582884430885316	0.2313416659832001	0.14916507452726366
14810	говориться	0.12019377425312995	0.17682850807905198	0.16010375171899796	0.17510417997837066
14811	особенно	0.12018614187836647	0.14898901134729384	0.1531289353966713	0.175627351552248
14812	умерший	0.12018233314156533	0.18616944551467896	0.22487027794122694	0.17094239741563794
14813	согнуть	0.12015655860304833	0.16922818273305892	0.1356752909719944	0.1517815724015236
14814	свидетельство	0.12015287280082702	0.1751277267932892	0.15482449382543564	0.15078617110848427
14815	заботить	0.12015246152877808	0.17717632949352266	0.15904287844896314	0.19468245506286624
14816	неминуемый	0.1201503038406372	0.21648378670215607	0.15051345229148866	0.2017317309975624
14817	невыгодно	0.12014372199773787	0.1245108276605606	0.14540837407112125	0.12223808392882347
14818	роль	0.12014277577400208	0.16645571440458298	0.12401807382702827	0.17184984982013699
14819	среднее	0.12014075592160225	0.09588122479617596	0.1989179879426956	0.11759868860244753
14820	чужой	0.12013194411993025	0.18264476507902144	0.16572206020355226	0.17337531298398973
14821	проектировщик	0.12012836709618567	0.14359183087944985	0.16030147075653076	0.13718785867094993
14822	дознание	0.12012612149119375	0.20620451867580414	0.156803185492754	0.1385265037417412
14823	наблюдатель	0.1201258845627308	0.19088313728570935	0.15536317378282544	0.15210605785250664
14824	третий	0.12011836394667624	0.11714800223708152	0.17118655890226364	0.1297750324010849
14825	техникум	0.12011322230100632	0.13509957045316695	0.21986294090747832	0.15736738592386246
14826	инноватор	0.12011281326413155	0.19582080394029616	0.15295193791389464	0.16651870608329772
14827	совмещать	0.12010689452290535	0.14123936444520951	0.11511223912239076	0.1258937694132328
14828	наверстывать	0.120095045119524	0.16179173141717912	0.17856842577457427	0.16549779623746871
14829	балканский	0.120093697309494	0.15222484320402144	0.11042762994766236	0.16668826937675474
14830	организатор	0.12005901262164115	0.15749745517969133	0.16099975854158402	0.17814857959747316
14831	фракция	0.1200555257499218	0.13204231336712838	0.1217673286795616	0.12581745237112044
14832	затеваться	0.12005275562405585	0.16497933566570286	0.14843806028366088	0.17950961887836456
14833	чувашия	0.12004550024867057	0.1314021974802017	0.16818390041589734	0.15744675397872926
14834	брежневский	0.1200398251414299	0.19131217896938324	0.1472840540111065	0.12612018957734109
14835	перекраивать	0.12002990543842315	0.1369364157319069	0.10654205232858656	0.14061194881796835
14836	агрессивный	0.12002848014235495	0.1720987394452095	0.13677798807621006	0.14333997219800948
14837	экспорт	0.12002780437469482	0.1425956018269062	0.15759604647755626	0.13555258363485334
14838	внезапный	0.12002590969204904	0.18039872348308564	0.15570008307695388	0.18848877996206284
14839	церковь	0.12001126259565352	0.24574596881866456	0.21106911301612852	0.1976362645626068
14840	отвоевывать	0.12001044601202013	0.14864366501569748	0.13707328587770462	0.1380196526646614
14841	уверенный	0.12000012397766112	0.15108184441924094	0.18915739357471467	0.20959792137146
14842	подпитывать	0.11999989449977876	0.18263643682003025	0.10615542083978652	0.1805346742272377
14843	светский	0.1199894241988659	0.20467829406261445	0.16287600994110107	0.1872767135500908
14844	неискоренимый	0.11997859477996825	0.24865936636924746	0.11586574241518975	0.22173428237438206
14845	пермь	0.11997817531228065	0.10858875215053558	0.1727392390370369	0.14548990949988366
14846	кб	0.11997258141636848	0.10303687453269958	0.14276566877961158	0.1121039018034935
14847	даосизм	0.11995963081717492	0.2589286148548126	0.13882298544049262	0.2241343930363655
14848	оправдываться	0.11994559690356255	0.21236577928066253	0.18370987474918365	0.2102668821811676
14849	оптимизировать	0.11994484215974807	0.15988909974694251	0.10699508637189864	0.15138111338019372
14850	побывать	0.11993247270584105	0.10732539221644402	0.16303768306970595	0.16973221451044082
14851	обнаруживаться	0.1199225164949894	0.17429289072752	0.13517875596880913	0.13945480734109875
14852	излишне	0.11990109235048295	0.14516797214746474	0.1524531990289688	0.13827673792839051
14853	приспосабливаться	0.11989597603678705	0.15127838551998138	0.13059208616614346	0.16830564588308333
14854	усиленно	0.11989386454224585	0.1435697555541992	0.1558033734560013	0.13818343430757524
14855	россия	0.11989324241876602	0.1692961186170578	0.16973545998334885	0.2185600697994232
14856	перестраиваться	0.1198900356888771	0.12261331453919412	0.1306225873529911	0.1231270417571068
14857	занижать	0.11988789439201356	0.12841336354613306	0.15423809140920638	0.10681586489081382
14858	среднесуточный	0.11988315358757973	0.1218989834189415	0.1478211537003517	0.11296919286251067
14859	обучать	0.1198802076280117	0.14146129712462424	0.17095423936843873	0.15480893701314927
14860	пластический	0.11987932175397872	0.13515465036034585	0.15170347988605498	0.15890567302703856
14861	решительный	0.11987785696983334	0.2289799153804779	0.1660127267241478	0.1888883009552956
14862	несение	0.11987735629081725	0.18325975984334947	0.111490860581398	0.16357502564787865
14863	соображение	0.11986100673675534	0.21611277312040328	0.12551622092723844	0.19419736862182616
14864	упускать	0.11986096426844595	0.14783291071653365	0.15389752984046934	0.16141535639762875
14865	апрель	0.11984224691987035	0.13805406615138055	0.1969290554523468	0.1764571636915207
14866	коэффициент	0.11983950063586235	0.16097789406776428	0.1127194307744503	0.12327618896961212
14867	трехуровневый	0.1198248654603958	0.1231082759797573	0.12388973534107207	0.15033866837620735
14868	экспресс	0.1198125012218952	0.0981899507343769	0.1545196734368801	0.12655763924121854
14869	годовой	0.11981028392910956	0.13075380474328996	0.18499077260494232	0.12936853542923926
14870	истечение	0.1198054663836956	0.14238092228770255	0.12540640458464622	0.1458447940647602
14871	метаболический	0.11978566870093345	0.19437825679779053	0.12004582658410072	0.16544654667377473
14872	оперативный	0.11977942436933516	0.17838959246873856	0.11727830022573472	0.15133363679051398
14873	распоряжение	0.11977621093392372	0.15413992404937746	0.16946115642786025	0.16575454622507094
14874	финальный	0.11976503431797028	0.131384751945734	0.13182520419359206	0.13460218533873558
14875	зона	0.1197605587542057	0.11593869104981422	0.1623004898428917	0.15153583884239194
14876	бэт	0.11975962221622467	0.11181755885481834	0.14370448887348175	0.10972129181027412
14877	рожать	0.11975834220647813	0.18280790895223614	0.28625608086586	0.20695392042398453
14878	потребительский	0.11974792703986167	0.1386495888233185	0.15258955284953118	0.1438653364777565
14879	максимально	0.11972585693001747	0.11473514959216118	0.12011449560523033	0.15018569827079772
14880	избежание	0.11971771344542505	0.15681571140885353	0.11358505338430405	0.15111873522400854
14881	сущность	0.11969991996884348	0.3421623170375824	0.13714599311351774	0.31127251982688897
14882	фаза	0.1196875274181366	0.18003555685281752	0.1100280076265335	0.15746020078659054
14883	воплощение	0.11967802047729492	0.2631089448928833	0.1341804087162018	0.24344269633293156
14884	наряду	0.11966790482401847	0.21385083496570587	0.1043422743678093	0.22234620451927184
14885	работоспособность	0.11966089010238648	0.1988017275929451	0.10870391950011253	0.18287565410137174
14886	приветствовать	0.119659573584795	0.13535590022802352	0.1558954581618309	0.17326393127441406
14887	сибирский	0.11965522766113283	0.10339805707335473	0.12368293926119805	0.131641935557127
14888	сочетать	0.11964313238859176	0.1909230388700962	0.10632097721099854	0.13140724152326586
14889	беспомощность	0.11964133530855177	0.31106020212173463	0.18664540648460387	0.26674040853977204
14890	властный	0.11962970793247225	0.2252419784665108	0.15080194771289826	0.18474660366773604
14891	закуп	0.11962637677788734	0.13191810622811315	0.13712479099631308	0.11900615841150285
14892	усмотрение	0.11961973235011099	0.15000803023576734	0.1271863266825676	0.1857337012887001
14893	получение	0.11960585862398147	0.18044347912073136	0.1229379877448082	0.16249137371778488
